student_id,gender,age_group,class_level,boarding_status,repeated_class,socioeconomic_status,guardian_type,parent_education_level,parent_involvement,parent_meeting_attendance,home_study_environment,number_of_siblings,receives_scholarship,internet_access_quality,has_personal_device,electricity_reliability,distance_from_school_km,commute_time_minutes,transport_mode,financial_stress_level,tuition_payment_status,meals_per_day,has_part_time_job,stress_level,sleep_hours_per_night,mental_health_indicator,exam_anxiety_level,motivation_level,peer_relationship_quality,school_satisfaction,attendance_rate,participation_level,extracurricular_involvement,library_usage,peer_collaboration,preferred_learning_style,math_score,english_score,science_score,social_studies_score,average_score,prev_math_score,prev_english_score,prev_science_score,prev_social_studies_score,prev_average_score,score_trend,study_hours_per_day,assignment_completion_rate,homework_submission_consistency,hardest_subject,teacher_accessibility_rating,receives_extra_tutoring,counselor_visits_per_term,exam_preparation_level,mock_exam_score,waec_subject_count,primary_challenge,support_needed,pass_fail,risk_level,dropout_risk,score_improved,score_delta,attendance_category,score_category,is_senior_student,SSI,EI,PSI,RAI,WBI,ARI,WRI,SNI,DVI,pass_fail_encoded,risk_level_encoded,dropout_risk_encoded
STU_0011,Male,16-18,SS2,Day Student,No,Middle,Guardian/Relative,BSc/HND,High,Never,Good,2,No,Fair,No,Unreliable,6.8,42,Bus/Danfo,No Stress,Paid,2,No,Very High,6.5,Good,High,Moderate,Good,Satisfied,80.6,Low,2 Activities,Weekly,Sometimes,Reading/Writing,63.1,70.6,70.4,75.0,69.8,56.7,80.5,65.8,79.3,70.6,Stable,1-2hrs,71-90%,Often,Mathematics,Very Poor,Yes,0,Good,68.0,8.0,Frequent power outages disrupt night reading,Counseling services for stress management,Pass,Low,Low,0,-0.8,Good (75-85%),Good (70-79),1,69.91,52.5,57.0,42.12,49.0,28.21,76.38,55.6,50.85,1,1,1
STU_0012,Female,13-15,SS2,Boarding,No,Upper-Middle,Guardian/Relative,OND/NCE,Very High,Rarely,Fair,3,No,Very Poor,Yes,Moderate,4.2,24,Motorcycle,No Stress,Partial,2,No,Very High,6.0,Good,Very Low,Moderate,Excellent,Neutral,76.8,Moderate,3+ Activities,Monthly,Often,Reading/Writing,38.5,70.7,64.0,72.3,61.4,40.0,72.6,67.6,73.0,63.3,Stable,1-2hrs,71-90%,Often,Mathematics,Good,No,0,Good,57.1,8.0,Lack of past question papers,Improved school library with digital resources,Pass,Low,Low,0,-1.9,Good (75-85%),Average (60-69),1,66.02,63.75,62.75,59.75,56.43,27.78,71.47,52.04,60.8,1,1,1
STU_0013,Female,13-15,SS1,Boarding,Yes,Upper-Middle,Both Parents,OND/NCE,Moderate,Sometimes,Poor,1,No,Good,Yes,Very Reliable,6.6,43,Private Car,High,Partial,2,No,Very Low,8.9,Good,High,Moderate,Good,Neutral,67.5,Moderate,2 Activities,Weekly,Sometimes,Reading/Writing,44.4,59.4,59.8,58.1,55.4,34.9,52.4,59.2,54.0,50.1,Improving,<1hr,50-70%,Rarely,Mathematics,Good,Yes,1,Poor,65.7,8.0,Stress from upcoming WAEC examination,Emotional and psychological support services,Pass,High,Low,1,5.3,Fair (65-75%),Below Avg (50-59),1,45.6,57.5,45.25,89.44,79.14,51.07,61.34,44.88,38.12,1,3,1
STU_0014,Male,13-15,JSS3,Day Student,No,Upper-Middle,Both Parents,Secondary,Moderate,Often,Very Poor,1,No,Fair,No,Unreliable,15.8,91,Private Car,Very High,Partial,2,No,Very Low,7.0,Fair,Very High,High,Very Poor,Dissatisfied,60.0,Very Low,1 Activity,Never,Sometimes,Reading/Writing,29.0,44.4,36.7,34.1,36.1,24.3,38.8,46.1,28.7,34.5,Stable,<1hr,Below 50%,Often,Mathematics,Excellent,No,4,,0.0,0.0,Lack of past question papers,Access to more textbooks and materials,Fail,High,Medium,1,1.6,Low (50-65%),Failing (<40),0,35.64,20.0,42.25,41.58,63.24,39.14,0.0,63.87,47.0,0,3,2
STU_0015,Male,10-12,JSS3,Day Student,No,Lower-Middle,Single Parent,OND/NCE,Very High,Always,Fair,6,No,Poor,No,Unreliable,13.9,84,Private Car,Low,Paid,3,No,High,5.1,Good,Very High,Moderate,Fair,Satisfied,70.8,Moderate,2 Activities,Rarely,Rarely,Kinesthetic,39.3,60.9,40.8,65.2,51.6,36.3,43.7,38.4,71.6,47.5,Stable,<1hr,71-90%,Often,Mathematics,Good,Yes,0,,0.0,0.0,Lack of past question papers,Extra tutoring in mathematics and science,Pass,Low,Low,1,4.1,Fair (65-75%),Below Avg (50-59),0,57.09,43.75,81.5,31.22,47.75,30.1,0.0,42.23,25.8,1,1,1
STU_0016,Male,13-15,SS1,Day Student,No,Low,Both Parents,BSc/HND,High,Always,Excellent,3,No,No Access,No,Moderate,6.6,38,Bus/Danfo,Very High,Outstanding,1,Yes,Moderate,5.7,Concerning,Moderate,Very High,Good,Satisfied,64.8,Very Low,No Activity,Rarely,Sometimes,Visual,51.4,59.0,67.9,70.8,62.3,32.8,76.0,67.7,73.8,62.6,Stable,1-2hrs,Above 90%,Always,Mathematics,Fair,No,3,Good,43.9,7.0,Transport challenges cause lateness,Access to more textbooks and materials,Pass,High,High,0,-0.3,Low (50-65%),Average (60-69),1,62.0,25.0,88.25,25.44,57.12,35.4,63.31,54.99,64.0,1,3,3
STU_0017,Male,16-18,SS3,Day Student,No,Lower-Middle,Both Parents,Postgraduate,Very High,Always,Fair,6,No,Very Poor,No,Very Unreliable,0.9,5,Bicycle,Low,Paid,1,No,Very High,4.3,Concerning,Moderate,Very High,Good,Satisfied,70.1,Moderate,1 Activity,Daily,Often,Kinesthetic,50.4,56.9,50.2,66.4,56.0,51.0,39.4,48.9,74.7,53.5,Stable,<1hr,50-70%,Sometimes,Mathematics,Excellent,No,1,Fair,52.0,9.0,Long distance to school is exhausting,Motivational guidance and career counseling,Pass,High,Low,1,2.5,Fair (65-75%),Below Avg (50-59),1,49.12,66.25,87.5,23.36,41.62,32.49,64.4,46.57,24.48,1,3,1
STU_0018,Female,16-18,SS3,Day Student,No,Upper-Middle,Guardian/Relative,OND/NCE,Moderate,Never,Excellent,2,No,Poor,Yes,Very Unreliable,12.2,75,Motorcycle,Moderate,Paid,3,No,Very High,4.7,Good,Low,Very High,Good,Dissatisfied,71.3,Low,1 Activity,Never,Rarely,Auditory,62.9,75.2,68.7,90.7,74.4,67.2,71.4,61.5,97.6,74.4,Stable,<1hr,Above 90%,Always,Mathematics,Poor,Yes,0,Excellent,71.9,9.0,Noisy home environment disrupts studying,Flexible tuition payment plans,Pass,Medium,Low,0,0.0,Fair (65-75%),Good (70-79),1,63.86,21.25,51.5,50.55,59.14,28.52,87.36,43.34,39.18,1,2,1
STU_0019,Male,13-15,SS1,Boarding,Yes,High,Guardian/Relative,OND/NCE,Low,Never,Very Poor,1,No,Excellent,No,Very Unreliable,9.6,56,Motorcycle,No Stress,Paid,2,No,High,6.4,Fair,Moderate,Very Low,Good,Satisfied,47.4,High,3+ Activities,Weekly,Often,Auditory,54.6,57.7,50.5,58.3,41.5,68.3,62.9,50.3,56.6,59.5,Declining,<1hr,50-70%,Sometimes,Science,Good,No,1,Excellent,57.1,8.0,Low confidence in science subjects,Recognition and rewards for academic improvement,Fail,High,Low,0,-18.0,Critical (<50%),Poor (40-49),1,38.37,78.75,17.75,51.92,39.7,7.05,78.47,70.04,56.65,0,3,1
STU_0020,Male,13-15,SS2,Day Student,No,Upper-Middle,Both Parents,BSc/HND,Moderate,Rarely,Fair,2,No,Fair,Yes,Unreliable,0.7,5,Walking,High,Partial,2,No,Low,8.2,Good,Moderate,Low,Fair,Very Dissatisfied,64.3,Moderate,1 Activity,Never,Sometimes,Reading/Writing,71.8,57.2,34.1,72.0,58.8,76.0,67.5,32.6,78.0,63.5,Stable,1-2hrs,Below 50%,Sometimes,Science,Fair,No,2,Poor,67.8,8.0,Lack of textbooks and study materials,Financial aid or scholarship support,Pass,High,Medium,0,-4.7,Low (50-65%),Below Avg (50-59),1,45.99,32.5,48.25,66.68,65.89,30.7,62.29,50.74,41.42,1,3,2
STU_0021,Female,13-15,SS1,Day Student,No,Low,Guardian/Relative,Postgraduate,High,Rarely,Good,2,Yes,No Access,No,Very Unreliable,17.8,97,Private Car,Very High,Partial,2,No,Low,7.3,Fair,High,Low,Excellent,Very Satisfied,67.5,Moderate,No Activity,Never,Often,Mixed,41.6,43.1,39.1,41.2,41.2,34.4,55.7,39.7,43.3,43.3,Stable,1-2hrs,71-90%,Often,Science,Good,No,1,Poor,43.3,8.0,Financial burden of buying data for online research,Recognition and rewards for academic improvement,Fail,High,Low,0,-2.1,Fair (65-75%),Poor (40-49),1,56.63,43.75,66.25,9.16,59.63,28.7,51.26,60.29,55.63,0,3,1
STU_0022,Male,10-12,JSS3,Day Student,No,Upper-Middle,Both Parents,OND/NCE,Low,Often,Fair,1,No,Poor,No,Reliable,6.2,41,Bus/Danfo,No Stress,Partial,3,No,High,6.4,Concerning,Very Low,High,Good,Very Satisfied,68.0,Low,No Activity,Rarely,Rarely,Visual,38.6,53.9,34.2,54.4,45.3,35.4,53.2,34.6,53.7,44.2,Stable,<1hr,71-90%,Always,Science,Good,No,3,,0.0,0.0,Poor health affecting concentration,Motivational guidance and career counseling,Fail,High,Low,1,1.1,Fair (65-75%),Poor (40-49),0,46.19,28.75,49.0,51.32,51.37,35.94,0.0,61.73,52.5,0,3,1
STU_0023,Male,13-15,JSS3,Day Student,No,Lower-Middle,Single Parent,OND/NCE,Moderate,Often,Very Poor,3,No,Very Poor,No,Very Reliable,3.9,17,Walking,High,Partial,2,No,Very Low,8.3,Fair,Moderate,Very Low,Good,Satisfied,67.8,Very Low,2 Activities,Weekly,Sometimes,Kinesthetic,51.0,45.0,55.0,61.5,53.1,64.0,48.5,55.0,77.4,61.2,Declining,3-4hrs,71-90%,Always,English,Fair,No,0,,0.0,0.0,Long distance to school is exhausting,Transport support for distant students,Pass,High,Low,0,-8.1,Fair (65-75%),Below Avg (50-59),0,56.87,45.0,45.25,47.35,62.52,5.88,0.0,51.13,42.05,1,3,1
STU_0024,Male,13-15,SS1,Day Student,No,Low,Both Parents,BSc/HND,Very Low,Rarely,Fair,2,No,Fair,No,Very Unreliable,7.3,45,Motorcycle,Very High,Outstanding,2,Yes,Moderate,7.3,Good,Moderate,High,Excellent,Very Satisfied,68.9,Low,No Activity,Monthly,Sometimes,Kinesthetic,52.3,61.0,60.6,61.4,58.8,55.5,58.9,61.3,75.5,62.8,Stable,<1hr,71-90%,Rarely,Mathematics,Good,No,0,Fair,56.6,9.0,No quiet place to study at home,After-school remedial classes,Pass,High,High,0,-4.0,Fair (65-75%),Below Avg (50-59),1,53.81,40.0,30.75,30.7,72.71,24.97,66.47,58.61,62.98,1,3,3
STU_0025,Male,13-15,JSS2,Day Student,No,Lower-Middle,Both Parents,BSc/HND,Moderate,Sometimes,Fair,1,Yes,Very Poor,Yes,Unreliable,1.4,8,Motorcycle,Low,Partial,1,No,Moderate,7.4,Concerning,Low,High,Good,Dissatisfied,62.6,Moderate,2 Activities,Monthly,Rarely,Reading/Writing,46.5,64.3,50.3,74.2,58.8,53.8,53.4,58.0,78.1,60.8,Stable,1-2hrs,Below 50%,Sometimes,Mathematics,Excellent,No,2,,0.0,0.0,Mental fatigue from combined school and home demands,Motivational guidance and career counseling,Pass,High,Low,0,-2.0,Low (50-65%),Below Avg (50-59),0,45.56,43.75,54.5,49.45,57.76,31.74,0.0,43.51,30.35,1,3,1
STU_0026,Female,10-12,JSS1,Day Student,No,Low,Guardian/Relative,Primary,High,Always,Good,2,No,Poor,Yes,Very Unreliable,35.9,180,Bus/Danfo,Very High,Outstanding,2,No,Low,8.4,Fair,Very Low,High,Good,Dissatisfied,51.9,Low,1 Activity,Weekly,Sometimes,Visual,48.5,39.1,41.3,45.5,43.6,44.5,31.8,34.5,40.4,37.8,Improving,<1hr,50-70%,Sometimes,English,Fair,No,0,,0.0,0.0,Mental fatigue from combined school and home demands,Access to more textbooks and materials,Fail,High,High,1,5.8,Low (50-65%),Poor (40-49),0,40.23,42.5,73.0,35.04,75.49,46.26,0.0,57.2,68.53,0,3,3
STU_0027,Male,16-18,SS3,Day Student,No,Middle,Both Parents,BSc/HND,Very Low,Sometimes,Good,3,No,Fair,Yes,Very Unreliable,2.4,24,Motorcycle,High,Partial,3,No,Moderate,6.0,Fair,Moderate,High,Excellent,Neutral,67.1,Moderate,1 Activity,Rarely,Sometimes,Reading/Writing,41.0,54.1,46.6,59.7,50.3,39.5,42.1,41.5,56.8,45.0,Improving,3-4hrs,71-90%,Often,Mathematics,Fair,No,5,Very Poor,58.7,9.0,I find mathematics very difficult,Financial aid or scholarship support,Pass,High,Low,1,5.3,Fair (65-75%),Below Avg (50-59),1,63.71,42.5,43.25,57.36,62.6,61.07,53.42,47.96,43.22,1,3,1
STU_0028,Male,10-12,JSS1,Day Student,No,Lower-Middle,Single Parent,Secondary,High,Rarely,Good,3,No,Good,No,Unreliable,18.1,109,Bus/Danfo,High,Outstanding,3,No,Very Low,9.0,Fair,High,High,Good,Satisfied,65.3,Low,2 Activities,Monthly,Always,Visual,49.0,45.2,55.4,55.1,51.2,48.5,47.4,65.3,51.8,53.2,Stable,1-2hrs,50-70%,Sometimes,English,Fair,No,2,,0.0,0.0,Low confidence in science subjects,Motivational guidance and career counseling,Pass,Medium,Medium,0,-2.0,Fair (65-75%),Below Avg (50-59),0,50.24,60.0,57.25,41.8,77.02,31.74,0.0,49.01,51.67,1,2,2
STU_0029,Female,13-15,JSS2,Day Student,Yes,Lower-Middle,Both Parents,OND/NCE,Very High,Sometimes,Fair,2,No,Poor,No,Unreliable,3.0,21,Bus/Danfo,Moderate,Partial,2,No,Moderate,6.2,Good,High,Low,Good,Satisfied,74.0,Very Low,1 Activity,Monthly,Often,Visual,51.2,67.8,42.2,62.1,55.8,57.6,65.4,51.1,67.0,60.3,Stable,3-4hrs,71-90%,Often,Science,Excellent,No,2,,0.0,0.0,Noisy home environment disrupts studying,Better internet access within school,Pass,Low,Low,0,-4.5,Fair (65-75%),Below Avg (50-59),0,67.36,41.25,69.0,34.91,55.86,32.78,0.0,43.39,34.5,1,1,1
STU_0030,Male,10-12,JSS1,Day Student,No,Middle,Both Parents,BSc/HND,Moderate,Sometimes,Poor,3,No,Fair,No,Very Reliable,3.6,23,Motorcycle,Low,Paid,3,No,Moderate,6.8,Fair,Moderate,Moderate,Excellent,Neutral,73.0,High,2 Activities,Monthly,Never,Kinesthetic,59.2,58.0,47.6,52.9,54.4,56.2,56.7,49.4,55.2,54.4,Stable,>4hrs,50-70%,Rarely,English,Excellent,Yes,1,,0.0,0.0,Mental fatigue from combined school and home demands,Improved school library with digital resources,Pass,Low,Low,0,0.0,Fair (65-75%),Below Avg (50-59),0,58.62,47.5,48.25,61.95,59.31,29.52,0.0,38.21,18.75,1,1,1
STU_0031,Female,13-15,SS1,Boarding,No,Upper-Middle,Both Parents,Postgraduate,High,Sometimes,Fair,1,Yes,Good,Yes,Unreliable,26.7,159,School Bus,No Stress,Partial,3,No,Moderate,7.2,Fair,Low,Moderate,Very Poor,Dissatisfied,69.5,Very Low,2 Activities,Monthly,Sometimes,Kinesthetic,60.1,74.2,72.8,69.5,69.2,64.3,78.9,87.0,67.6,74.4,Declining,1-2hrs,Below 50%,Sometimes,Mathematics,Poor,No,5,Fair,72.0,7.0,Poor internet connection at home,Improved school library with digital resources,Pass,Low,Low,0,-5.2,Fair (65-75%),Good (70-79),1,50.93,35.0,66.25,63.9,52.17,22.0,68.96,56.75,49.62,1,1,1
STU_0032,Male,16-18,SS3,Day Student,Yes,Middle,Both Parents,OND/NCE,Very High,Sometimes,Good,5,No,Fair,Yes,Unreliable,21.0,125,Bus/Danfo,Moderate,Partial,2,No,High,4.4,Poor,Low,High,Good,Satisfied,74.7,Very Low,2 Activities,Rarely,Always,Mixed,68.9,64.7,61.8,59.5,63.7,68.9,66.4,65.2,71.9,68.1,Stable,<1hr,Above 90%,Often,Social Studies,Fair,No,1,Very Poor,65.0,9.0,Lack of textbooks and study materials,After-school remedial classes,Pass,Low,Low,0,-4.4,Fair (65-75%),Average (60-69),1,68.97,47.5,75.25,57.32,37.75,31.82,56.25,43.89,36.83,1,1,1
STU_0033,Male,13-15,SS1,Day Student,No,Lower-Middle,Single Parent,Secondary,Very High,Never,Excellent,5,No,Good,No,Unreliable,2.8,24,Motorcycle,High,Partial,1,No,High,5.5,Good,Very Low,Moderate,Fair,Very Dissatisfied,77.8,Moderate,2 Activities,Daily,Always,Visual,62.4,77.0,56.4,67.1,65.7,53.9,81.6,69.5,64.5,67.4,Stable,3-4hrs,71-90%,Sometimes,English,Fair,No,0,Good,81.7,9.0,Working part-time limits study time,Better internet access within school,Pass,Medium,Low,0,-1.7,Good (75-85%),Average (60-69),1,69.11,70.0,66.0,46.97,56.61,27.86,84.76,46.91,47.05,1,2,1
STU_0034,Female,16-18,SS2,Day Student,No,Upper-Middle,Both Parents,OND/NCE,Low,Always,Very Poor,3,No,Good,No,Very Unreliable,17.0,107,Boarding,Low,Outstanding,3,No,High,4.9,Good,Low,High,Good,Neutral,77.3,Moderate,2 Activities,Daily,Always,Reading/Writing,66.7,61.8,74.5,63.3,66.6,66.7,74.5,84.7,74.5,75.1,Declining,3-4hrs,71-90%,Often,Social Studies,Good,Yes,2,Fair,76.3,9.0,Too many assignments and heavy workload,Motivational guidance and career counseling,Pass,Medium,Medium,0,-8.5,Good (75-85%),Average (60-69),1,71.97,75.0,42.75,40.93,60.82,13.73,75.34,37.11,38.17,1,2,2
STU_0035,Female,13-15,SS2,Day Student,No,Upper-Middle,Single Parent,Postgraduate,Low,Sometimes,Fair,0,No,Fair,No,Reliable,7.9,57,Bus/Danfo,No Stress,Partial,2,No,Very High,4.6,Poor,High,High,Very Poor,Neutral,73.5,Very High,2 Activities,Monthly,Always,Visual,58.7,81.0,70.4,75.6,71.4,66.4,75.4,81.8,82.6,76.6,Declining,3-4hrs,50-70%,Often,Social Studies,Good,No,0,Poor,97.9,7.0,Mental fatigue from combined school and home demands,Motivational guidance and career counseling,Pass,High,Medium,0,-5.2,Fair (65-75%),Good (70-79),1,66.03,80.0,48.75,56.75,20.43,9.0,73.61,62.83,57.62,1,3,2
STU_0036,Female,13-15,JSS3,Day Student,No,Low,Single Parent,Secondary,Low,Sometimes,Poor,3,Yes,Poor,No,Very Unreliable,0.7,5,Walking,Moderate,Paid,2,No,Low,6.5,Good,Very Low,Moderate,Good,Dissatisfied,77.3,Low,3+ Activities,Rarely,Rarely,Auditory,45.3,51.2,53.3,51.2,50.2,45.3,38.1,45.3,55.1,45.9,Stable,1-2hrs,71-90%,Often,Mathematics,Fair,No,5,,0.0,0.0,Long distance to school is exhausting,Access to more textbooks and materials,Pass,Low,Low,1,4.3,Good (75-85%),Below Avg (50-59),0,62.23,36.25,33.5,26.93,73.75,43.18,0.0,45.04,26.17,1,1,1
STU_0037,Male,10-12,JSS3,Boarding,No,Middle,Single Parent,OND/NCE,High,Always,Poor,3,No,Excellent,Yes,Very Reliable,5.8,30,Bus/Danfo,No Stress,Paid,2,No,High,6.2,Concerning,Very Low,High,Fair,Dissatisfied,70.9,Moderate,No Activity,Monthly,Never,Reading/Writing,64.8,82.7,78.2,85.1,77.7,62.5,78.6,82.9,80.4,76.1,Stable,1-2hrs,Above 90%,Always,Mathematics,Fair,No,2,,0.0,0.0,No quiet place to study at home,Recognition and rewards for academic improvement,Pass,Low,Low,1,1.6,Fair (65-75%),Good (70-79),0,68.92,27.5,66.5,93.21,48.44,35.14,0.0,48.45,46.77,1,1,1
